d,school,cantrip,level,classes,time,range,components,duration,p1,p2,p3,p4,ul1,ul2,ul3,ul4,ul5,p5,p6,p7,p8,p9,ahl
Acid Splash,conjuration,Cantrip,cantrip,sorceror wizard,1 action,60 feet,Verbal&#44; Somatic,Instantaneous,You hurl a bubble of acid. Choose one creature within range&#44; or choose two creatures within range that are within 5 feet of each other. A target myst succeed on a Wexterity saving throw or take 1d6 acid damage.,This spell's damage increases by 1d6 when you reach 5th level (2d6)&#44; 11th level (3d6)&#44; and 17th level (4d6).,,,,,,,,,,,,,
Aid,abjuration,not cantrip,2nd,cleric paladin,1 action,30 feet,Verbal&#44; Somatic&#44; Material (a tiny strip of white cloth),8 hours,Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.,,,,,,,,,,,,,,When you cast this spell using a spell slot of 3rd level or higher&#44; a target's hit points increase by an additional 5 for each slot level above 2nd.
Alarm,abjuration,not cantrip,1st,ranger wizard,1 minute or ritual,30 feet,Verbal&#44; Somatic&#44; Material (a tiny bell and a piece of fine silver wire),8 hours,You set an alarm against unwanted intrusion. Choose a door&#44; a window&#44; or an area within range that is no larger than a 20-foot cube. Until the spell ends&#44; an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell&#44; you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.,A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.,An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.,,,,,,,,,,,,
Alter Self,transmutation,not cantrip,2nd,sorceror wizard,1 action,Self,Verbal&#44; Somatic,Concentration up to 1 hour,You assume a different form. When you cast the spell&#44; choose one of the following options&#44; the effects of which last for the duralion of the spell. While the spell lasts&#44; you can end one option as an action to gain the benefits of a different one.,"<span class=""dark"">Aquatic Adaptation</span> &mdash; You adapt your body to an aquatic environment&#44; sprouting gills and growing webbing belween your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed.","<span class=""dark"">Change Appearance</span> &mdash; You transform your appearance. You decide what you look like&#44; including your height&#44; weight&#44; facial features&#44; sound of your voice&#44; hair length&#44; coloration&#44; and distinguishing characteristics&#44; if any. You can make yourself appear as a member of another race&#44; though none of your statistics change. You also can't appear as a creature of a different size than you&#44; and your basic shape stays the same; if you're bipedal&#44; you can't use this spell to become quadrupedal&#44; for instance.  At any time for the duration of the spell&#44; you can use your action to change your appearance in this way again.","<span class=""dark"">Natural Weapons</span> &mdash; You grow claws&#44; fangs&#44; spines&#44; horns&#44; or a different natural weapon of your choice.  Your unarmed strikes deal 1d6 bludgeoning&#44; piercing&#44; or slashing damage&#44; as appropriate to the natural weapon you chose&#44; and you are proficient with your unarmed strikes. Finally&#44; the natural weapon is magic and you have a +1 bonus to the atlack and damage rolls you make using it.",,,,,,,,,,,
Animal Friendship,enchantment,not cantrip,1st,bard druid ranger,1 action,30 feet,Verbal&#44; Somatic&#44; Material (a morsel of food),24 hours,This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher&#44; the spell fails. Otherwise&#44; the beast must succeed on a Wisdom saving throw or be charmed by you for the spell's duration. If you or one of your companions harms the target&#44; the spells ends.,,,,,,,,,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; you can affect one additional beast for each slot level above 1st.
Animal Messenger,enchantment,not cantrip,2nd,bard druid ranger,1 action or ritual,30 feet,Verbal&#44; Somatic&#44; Material (a morsel of food),24 hours,By means of this spell&#44; you use an animal to deliver a message. Choose a Tiny beast you can see within range&#44; such as a squirrel&#44; a blue jay&#44; or a bat. You specify a location&#44; which you must have visited&#44; and a recipient who matches a general description&#44; such as &quot;a man or woman dressed in the uniform of the town guard&quot; or &quot;a red-haired dwarf wearing a pointed hat.&quot; You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location&#44; covering about 50 miles per 24 hours for a flying messenger&#44; or 25 miles for other animals.,When the messenger arrives&#44; it delivers your message lo the creature that you described&#44; replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell ends&#44; the message is lost&#44; and the beast makes its way back to where you cast this spell.,,,,,,,,,,,,,If you cast this spell using a spell slot of 3nd level or higher&#44; the duration of the spell increases by 48 hours for each slot level above 2nd.
Animal Shapes,transmutation,not cantrip,8th,druid,1 action,30 feet,Verbal&#44; Somatic,Concentration up to 24 hours,Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turns&#44; you can use your action to transform affected creatures into new forms.,The transformation lasts for the duration for each target&#44; or until the target drops to 0 hit points or dies. You can choose a different form for each target. A target's game statistics are replaced by the statistics of the chosen beast&#44; though the target retains its alignment and Intelligence&#44; Wisdom&#44; and Charisma scores. The target assums the hit points of its new form and when it reverts to its normal form&#44; it returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to 0 hit points&#44; any excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to 0 hit points&#44; it isn't knocked unconscious. The creature is limited in the actions it can perform by the nature of its new form&#44; and it can't speak or cast spells.,The target's gear melds into the new form. The target can't activate&#44; wield&#44; or otherwise benefit from any of its equipment.,,,,,,,,,,,,
Animate Dead,necromancy,not cantrip,3rd,cleric wizard,1 minute,10 feet,Verbal&#44; Somatic&#44; Material (A drop of blood&#44; a piece of flesh&#44; and a pinch of bone dust),Instantaneous,This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life&#44; raising it as an undead creature. The target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the DM has the creature's game statistics).,On each of your turns&#44; you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures&#44; you can command any or all of them at the same time&#44; issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn&#44; or you can issue a general command&#44; such as to guard a particular chamber or corridor. If you issue no commands&#44; the creature only defends itself against hostile creatures. Once given an order&#44; the creature continues to follow it until its task is complete.,The creature is under your control for 24 hours&#44; afeeter which it stops obeying any command you've given it. To maintain the control of the creature for another 24 hours&#44; you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell&#44; rather than animating a new one.,,,,,,,,,,,,When you cast this spell using a spell slot of 4th level or higher&#44; you animate or reassert control over two additional undead creatures for each slot above 3rd. Each of the creatures must come from a different corpse or pile of bones.
Animate Objects,transmutation,not cantrip,5th,bard sorceror wizard,1 action,120 feet,Verbal&#44; Somatic,Concentration up to 1 minute,Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects&#44; Large targets count as four objects&#44; Huge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points.,As a bonus action&#44; you can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures&#44; you can command any or all of them at the same time&#44; issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn&#44; or you can issue a general command&#44; such as to guard a particular chamber or corridor. If you issue no commands&#44; the creature only defends itself against hostile creatures. Once given an order&#44; the creature continues to follow it until its task is complete.,Animated Object Statistics:,,Tiny &mdash; HP: 20&#44; AC: 18&#44; Attack: +8 to hit&#44; 1d4 + 4 damage&#44; Str: 4&#44; Dex: 18,Small &mdash; HP: 25&#44; AC: 16&#44; Attack: +6 to hit&#44; 1d8 + 2 damage&#44; Str: 6&#44; Dex: 14,Medium &mdash; HP: 40&#44; AC: 13&#44; Attack: +5 to hit&#44; 2d6 + 1 damage&#44; Str: 10&#44; Dex: 12,Large &mdash; HP: 50&#44; AC: 10&#44; Attack: +6 to hit&#44; 2d10 + 2 damage&#44; Str: 14&#44; Dex: 10,Huge &mdash; HP: 80&#44; AC: 10&#44; Attack: +8 to hit&#44; 2d12 + 4 damage&#44; Str: 18&#44; Dex: 6,An animated object is a construct with AC&#44; hit points&#44; attacks&#44; Strength&#44; and Dexterity determine by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3&#44; and its Charisma is 1. Its speed is 30 feet&#44; if the objects lack legs or other appendages it can use for locomotion&#44; it instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or larger object&#44; such as a chain bolted to a wall&#44; its speed is 0. It has blindsight with a radius of 30 feet and is blind beyond that distance. When the animated object drops to 0 hit points&#44; it reverts to its original object form&#44; and any remaining damage carries over to its original object form.,If you command an object to attack&#44; it can make a single melee attack against a creature within 5 feet of it. It makes a slam attack with an attack bonus and bludgeoning damage determine by its size. The DM might rule that a specific object inflicts slashing or piercing damage based on its form.,,,,If you cast this spell using a spell slot of 6th level or higher&#44; you can animate two additional objects for each slot level above 5th.
Antilife Shell,abjuration,not cantrip,5th,druid,1 action,Self,Verbal&#44; Somatic,Concentration up to 1 hour,A shimmering barrier extends out from you in a 10-foot radius and moves with you&#44; remaining centered on you and hedging out creatures other than undead and constructs.,The barrier lasts for the duration. The barrier prevents an affected creature from passing or reaching through. An affected creature can cast spells or make attacks with ranged or reach weapons through the barrier.,If you move so that an affect creature is forced to pass through the barrier&#44; the spell ends.,,,,,,,,,,,,
